Bon Secours Myrtille,33,7,Fruitée,Brasserie Caulier
Bon Secours Noël,50,10,"Blonde, Bière de Noël",Brasserie Caulier
Boneffe,33,9,Abbaye,Brasserie de Tubize
Bons vœux,33,10,Blonde,Brasserie Dupont
Bornem Dubbel,33,8,Abbaye,Brasserie Van Steenberge
Bornem Tripel,33,9,Abbaye,Brasserie Van Steenberge
Bos bier,33,9,Fruitée,Brasserie DijkWaert
Bosbier,33,4,"Fruitée, Pils",Brasserie Cornelissen
Boscoli,33,4,Fruitée,Brasserie Het Anker
Boskeun,50,7,Blonde,De Dolle Brouwers
Bosprotter,33,9,Triple,t Hofbrouwerijke
La Botteresse Ambrée,33,9,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse de Noël,33,11,Bière de Noël,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Blonde,33,8,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Brune,33,10,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux cerises,33,6,Fruitée,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Ambrée au miel,33,9,Bière au miel,Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux pommes,50,5,Fruitée,Brasserie La Botteresse de Sur-les-Bois
La Bouillonnaise,33,7,Brune,Brasserie de Bouillon
Bourgogne des Flandres Blond,33,6,Blonde,Brasserie Bourgogne des Flandres
Bourgogne des Flandres Bruin,33,5,Vieille brune,Brasserie Bourgogne des Flandres
BR Blonde,33,6,Blonde,Brasserie Demanez
La Brabançonne Ambrée,33,8,Ambrée,Brasserie du Brabant
La Brabançonne Blonde au Miel,33,7,Blonde,Brasserie du Brabant
La Brabançonne Brune,33,9,Brune,Brasserie du Brabant
Brasserie des Rocs Triple Impériale,50,10,,Brasserie de l'Abbaye des Rocs
Brave Broeder,33,5,,Brasserie de Silly
Bravoure,33,7,"Rauchbier, Ambrée",Brasserie De Dochter van de Korenaar
Bremserbière,33,6,Ambrée,Huisbrouwerij de 3 vaten
Brice,33,8,Blonde,Brasserie Grain d'Orge
Briekebakker,33,9,Triple,Brasserie Alvinne
Brigand,33,9,Blonde,Brasserie Van Honsebrouck
Brigand IPA,33,7,IPA,Brasserie Van Honsebrouck
Broeder Jacob Formidabel,50,6,blonde,Brasserie Broeder Jacob
Broeder Jacob Bruin,33,8,Brune,Brasserie Broeder Jacob
Broeder Jacob Tripel,33,8,Triple,Brasserie Broeder Jacob
Brogne Blonde,33,7,Blonde,Abbaye de Brogne
Brown Sugar,33,9,Brune,Brasserie Grain d'Orge
